TE	KAP1_Mean	KAP1_log2fold	KAP1_qvalue	H3K9me3_Mean	H3K9me3_log2fold	H3K9me3_qvalue
Kanga2_a	1649.765061	0.025474767	0.998128723	1322.576918	0.055242986	NA
MamGypLTR1d	453.1897252	0.025840787	0.998128723	364.0264114	-0.002729436	NA
MER70-int	353.3291083	0.025868811	0.998128723	278.3860301	0.016826499	NA
MER45R	1406.817827	0.02608668	0.998128723	1195.400506	0.008487397	NA
MER63D	3420.137257	0.026125545	0.998128723	2840.061981	0.03090399	NA
MER74A	3998.228743	0.026387437	0.998128723	3176.957128	0.003566394	NA
Charlie10	1548.323317	0.026424957	0.998128723	1266.756934	0.047130008	NA
LTR73	838.1670675	0.026733575	0.998128723	632.2728434	-0.03082058	NA
MLT1G1-int	306.643614	0.026900313	0.998128723	236.4364395	0.016817837	NA
MER102b	2255.341998	0.027441344	0.998128723	1760.903536	-0.073399807	NA
L1PB4	895.0835968	0.027587769	0.998128723	784.9076554	0.006466559	NA
HERV16-int	2160.869624	0.027731096	0.998128723	1768.014499	0.007071354	NA
MLT1L	6630.059842	0.027864121	0.998128723	5274.239349	0.045260115	NA
LTR89	567.2525049	0.028496901	0.998128723	480.5066658	0.003823364	NA
MIRb	133263.6716	0.02854384	0.998128723	101421.3875	0.033553304	0.605338875
MLT1J1	4449.540989	0.02855681	0.998128723	3517.713379	0.011553947	NA
L1ME3	5945.171459	0.028656019	0.998128723	4840.549099	-0.005554044	NA
RMER6B	13818.81799	0.028781502	0.998128723	11445.58646	0.018030431	NA
L2c	38579.83655	0.028781842	0.998128723	29678.13126	0.044727626	0.506622449
MER113A	598.4924915	0.028820139	0.998128723	469.3207324	-0.024680594	NA
MTEb-int	5762.754258	0.028936105	0.998128723	4723.4614	0.006772929	NA
MER106B	675.7418606	0.028956767	0.998128723	589.927995	0.03401528	NA
L1ME2	14249.47818	0.029006612	0.998128723	11707.91223	0.041236621	NA
MER46C	2918.410272	0.029847258	0.998128723	2264.781056	0.091723234	NA
RMER10A	26929.35829	0.030122085	0.998128723	19488.80776	0.006335272	0.952317802
RLTR30	2524.428014	0.030318985	0.998128723	2129.060951	-0.016355453	NA
MIR	137680.2593	0.030551027	0.998128723	105669.5797	0.035713945	0.578078726
LTR80B	519.8922577	0.030858212	0.998128723	419.7961669	0.053385032	NA
Charlie15a	784.7975923	0.030913476	0.998128723	561.8741697	0.015984009	NA
Charlie22a	671.4725982	0.031626159	0.998128723	521.0397657	-0.002011555	NA
MLT2C1	3895.782665	0.031876415	0.998128723	3135.873686	0.019906607	NA
MER102a	1643.866771	0.031905333	0.998128723	1296.102153	-0.023096768	NA
Arthur1A	506.6538985	0.032041201	0.998128723	367.8506738	-0.020545387	NA
MER44D	2959.362711	0.032136043	0.998128723	2306.130418	0.022898484	NA
Charlie23a	545.5063144	0.032188071	0.998128723	433.5489246	0.051377691	NA
CR1_Mam	1052.195331	0.032493902	0.998128723	838.5956179	0.005432243	NA
MER91A	1119.013434	0.032498451	0.998128723	830.128947	0.034253432	NA
LTR82A	1699.845817	0.032905442	0.998128723	1353.707814	0.005579431	NA
MLT1E2-int	226.7153396	0.033016339	0.998128723	187.5205741	-0.032134268	NA
Kanga1a	781.6385965	0.033118755	0.998128723	604.0603862	-0.021880261	NA
Charlie4	498.4256769	0.033637479	0.998128723	434.0514111	0.053360519	NA
L4	12898.21783	0.033898432	0.998128723	10484.65119	0.04041734	NA
MLT1G	4219.247291	0.034332392	0.998128723	3363.844484	0.018429687	NA
MLT2C2	2825.882174	0.034996168	0.998128723	2349.986037	-0.012272033	NA
Zaphod	3692.873161	0.035085254	0.998128723	3011.249685	0.014175128	NA
RMER20A	10462.4182	0.035216936	0.998128723	8587.884966	0.008231244	NA
MIRm	23788.4555	0.035379349	0.998128723	17786.47538	0.050228427	0.484334221
L1M6	1579.826998	0.035476342	0.998128723	1278.43168	0.019155202	NA
RLTR31A_Mm	7551.787371	0.035698072	0.998128723	6417.012876	0.015110086	NA
L2b	42832.07016	0.036034897	0.998128723	32458.81582	0.034867542	0.605338875
Alu	74.69905303	0.036041914	0.998128723	48.31752671	0.034350811	NA
MER5C	819.3123546	0.036117434	0.998128723	688.2101153	-0.021254896	NA
MER4B-int	209.0980043	0.036662381	0.998128723	173.0953117	-0.002730701	NA
MIR3	27589.22081	0.036947073	0.998128723	20514.0438	0.054697797	0.506622449
MLT1J1-int	379.5983815	0.037573815	0.998128723	307.2464859	-0.076404736	NA
MLT1E3-int	52.8195071	0.037815092	0.998128723	51.8240568	-0.040061796	NA
RMER21B	6684.554665	0.037824456	0.998128723	5217.055666	-0.000237946	NA
RLTR33	12785.97369	0.038392449	0.998128723	11032.32874	-0.020653744	NA
MLT2B1	8431.069194	0.03861813	0.998128723	6791.273565	0.011313508	NA
MER44A	2433.613337	0.038686845	0.998128723	2019.60042	0.01833597	NA
Charlie20a	780.1945701	0.039378227	0.998128723	633.2002454	0.065944948	NA
MLT1K	12207.35864	0.039553178	0.998128723	9488.056392	0.025188758	NA
RMER17C-int	13235.27592	0.040174842	0.998128723	11060.83011	0.00199375	NA
MER34-int	357.7207563	0.040183028	0.998128723	281.4759776	-0.041425069	NA
MLT1E-int	40.53411094	0.040944339	0.998128723	34.32681162	0.009704784	NA
FordPrefect	2123.29302	0.041514493	0.998128723	1709.395049	-0.001552317	NA
RLTR20C	6797.855957	0.042068831	0.998128723	5448.939643	-0.024073538	NA
Tigger15a	2901.848817	0.042098497	0.998128723	2307.860336	-0.006897203	NA
LTR88a	230.2020036	0.042187932	0.998128723	194.8306214	0.0565772	NA
MER73	661.9213135	0.04341537	0.998128723	565.9292668	-0.0225906	NA
L1M3de	901.7200774	0.043649841	0.998128723	784.4577452	0.006194897	NA
LTR79	1530.068081	0.04395853	0.998128723	1225.936842	-0.037258513	NA
LTR85a	917.6628409	0.044314097	0.998128723	726.0410749	0.010611864	NA
AmnSINE1	1829.980494	0.044607393	0.998128723	1379.27242	0.002315903	NA
LTR33A_	2188.552574	0.044951367	0.998128723	1694.081467	0.028425379	NA
LTR85c	529.5357668	0.04617945	0.998128723	426.0133662	0.05452892	NA
MADE2	467.6449365	0.046999803	0.998128723	397.2314352	0.089154958	NA
L1M2a	1123.486846	0.047845977	0.998128723	957.8703812	-0.061917648	NA
MER92B	1212.334006	0.04800996	0.998128723	965.1238165	0.017336975	NA
Charlie5	5457.868732	0.048056772	0.998128723	4384.381632	0.035500369	NA
Charlie9	712.9963854	0.048835329	0.998128723	555.3024666	0.000996626	NA
LTR16C	5767.318426	0.04903782	0.940706763	4617.048568	0.004432161	NA
ORSL-2b	969.3870692	0.049708832	0.998128723	731.2252617	0.041291347	NA
RLTR19A	939.4442195	0.050739701	0.998128723	781.0229379	-0.000890175	NA
MamSINE1	1476.186227	0.0507861	0.998128723	1120.652456	0.021560639	NA
Charlie8	3026.004272	0.051016656	0.998128723	2238.698848	0.037418557	NA
MER5A1	12258.21114	0.051509637	0.822015999	9380.466457	0.041336168	NA
MER106A	422.9219001	0.052120681	0.998128723	336.0472197	0.012311796	NA
MLT2F	2746.21969	0.053007965	0.998128723	2197.994798	-0.016354182	NA
MER31B	2705.711561	0.053176295	0.998128723	2151.014155	0.015005741	NA
MLT2E	551.1897687	0.054878568	0.998128723	473.4423349	0.008092809	NA
MER31A	3635.721609	0.055195197	0.940706763	2981.266163	-0.004842625	NA
MER68	4491.808728	0.055783152	0.940706763	3366.866008	-0.010487824	NA
MER96	347.1854684	0.055926392	0.998128723	265.6783119	0.068449624	NA
LTR16E2	1901.029148	0.056653811	0.998128723	1512.344225	-0.02699823	NA
MER90a	2991.133633	0.0581697	0.998128723	2474.617151	0.045992257	NA
RLTR20D	6894.69559	0.059569549	0.856499124	5625.097178	-0.006937901	NA
MER89	3340.988888	0.061004604	0.940706763	2718.893906	-0.001159548	NA
MLT1F1-int	529.8616599	0.062175082	0.998128723	460.9822515	-0.034470879	NA
LTR52	1014.401647	0.06656282	0.998128723	821.0234331	0.04365259	NA
MER65-int	183.1882187	0.068172761	0.940706763	143.3600798	-0.007828414	NA
MER21-int	553.7562488	0.068909846	0.998128723	421.8032121	0.034053455	NA
L1M3a	621.1882828	0.069119747	0.998128723	538.1892903	0.016740201	NA
MER103	2021.644779	0.069577427	0.88900901	1604.420664	0.02302409	NA
MER112	1167.75486	0.070573723	0.966766799	918.4750259	0.072262457	NA
MamRep1879	332.679252	0.071406013	0.998128723	266.1521586	0.029842622	NA
Kanga11a	909.8368826	0.071953461	0.966766799	757.6564732	0.026766433	NA
LTR86A2	301.3559106	0.073716709	0.980282681	244.9501519	0.000719834	NA
MamRep4096	691.5328484	0.075661791	0.940706763	538.2082257	-0.006886304	NA
ORSL-2a	294.8285303	0.07574035	0.940706763	237.8579733	-0.024157011	NA
MLT1H2-int	397.7750341	0.076012816	0.962770387	316.7609491	-0.037941038	NA
Charlie4z	1330.095377	0.077533971	0.88900901	1005.467822	0.047124623	NA
LTR88b	709.1934984	0.080958712	0.904010434	522.031084	-0.011656765	NA
MER52-int	1001.763151	0.08200998	0.871195255	980.7782668	-0.070801363	NA
MER74C	549.0338694	0.083960018	0.88900901	448.3942744	0.004783079	NA
Arthur1C	565.2486572	0.093145009	0.805892716	452.9720505	0.063238274	NA
Charlie11	236.4811166	0.099911261	0.581479385	207.6609921	-0.08600305	NA
LTR85b	478.8138599	0.104422799	0.546904388	388.5560021	-0.008543286	NA
FAM	569.9913981	0.119597793	0.342936692	427.7582742	0.036109345	NA
